name,median_earn,rnk
University of Central Missouri,49560,1109
Cleveland University-Kansas City,52304,959
Columbia College,45378,1380
Conception Seminary College,50430,1060
Cottey College,35422,1888
Culver-Stockton College,46092,1318
Drury University,40694,1635
Evangel University,46573,1292
Ozarks Technical Community College,36455,1856
Hannibal-LaGrange University,42643,1529
Harris-Stowe State University,31088,1991
Kansas City Art Institute,37032,1828
Lincoln University,39463,1712
Lindenwood University,53278,907
Logan University,55838,753
Maryville University of Saint Louis,62105,467
Midwestern Baptist Theological Seminary,50535,1057
Missouri Baptist University,46660,1285
Missouri Southern State University,42620,1531
Missouri Valley College,43221,1496
Missouri Western State University,42647,1528
University of Missouri-Columbia,63403,421
University of Missouri-Kansas City,59637,564
Missouri University of Science and Technology,82957,107
University of Missouri-St Louis,53037,922
Truman State University,56280,730
Northwest Missouri State University,47885,1211
Ozark Christian College,41297,1603
College of the Ozarks,41592,1589
Park University,56309,728
Stevens-The Institute of Business & Arts,29058,2022
Ranken Technical College,55955,745
Rockhurst University,67102,315
Saint Louis University,70783,247
University of Health Sciences and Pharmacy in St. Louis,137047,3
Saint Louis Community College,35325,1894
Southwest Baptist University,43112,1507
Stephens College,43071,1511
Southeast Missouri State University,44030,1456
Missouri State University-Springfield,49827,1089
Washington University in St Louis,86182,89
Webster University,50876,1044
Westminster College,52199,965
William Jewell College,59268,582
William Woods University,42401,1542
Blackfeet Community College,22953,2075
Carroll College,61772,481
Montana State University Billings,44296,1441
Aaniiih Nakoda College,30528,2000
University of Providence,48296,1190
Montana Technological University,54329,844
Montana State University,53263,908
The University of Montana,44511,1423
Montana State University-Northern,49505,1113
Rocky Mountain College,49036,1142
Salish Kootenai College,32725,1953
The University of Montana-Western,43229,1494
Bellevue University,61289,504
Clarkson College,64876,360
Bryan College of Health Sciences,70845,245
Chadron State College,47002,1265
Concordia University-Nebraska,52415,951
Creighton University,73911,202
Doane University,53316,905
Hastings College,51303,1025
University of Nebraska at Kearney,50105,1076
Nebraska Methodist College of Nursing & Allied Health,65071,356
Midland University,52163,968
University of Nebraska at Omaha,53909,867
Nebraska Indian Community College,31458,1985
Nebraska Wesleyan University,56405,719
University of Nebraska-Lincoln,56887,703
Peru State College,47071,1263
College of Saint Mary,54338,842
Union Adventist University,55045,799
Wayne State College,47075,1262
York University,44130,1451
College of Southern Nevada,38087,1785
University of Nevada-Las Vegas,55037,802
University of Nevada-Reno,60614,523
Great Basin College,39289,1717
Truckee Meadows Community College,44573,1419
Western Nevada College,41987,1572
Colby-Sawyer College,46474,1302
Dartmouth College,97434,37
Franklin Pierce University,53353,904
New England College,42092,1563
Southern New Hampshire University,50318,1069
University of New Hampshire-Main Campus,66479,323
Keene State College,54368,840
University of New Hampshire at Manchester,66479,323
Plymouth State University,57304,673
Rivier University,52248,961
Saint Anselm College,73371,209
University of New Hampshire College of Professional Studies Online,66479,323
Thomas More College of Liberal Arts,53565,891
Eastwick College-Hackensack,39762,1697
Berkeley College-Woodland Park,40251,1664
Bloomfield College of Montclair State University,61415,495
Caldwell University,53843,875
Centenary University,53726,884
Drew University,63646,391
Fairleigh Dickinson University-Metropolitan Campus,57273,675
Felician University,57602,661
Fairleigh Dickinson University-Florham Campus,57273,675
Georgian Court University,53096,919
Rowan University,59988,547
Eastwick College-Ramsey,51725,1000
New Jersey City University,52745,936
Kean University,57237,678
Monmouth University,67991,295
Montclair State University,61415,495
New Jersey Institute of Technology,84276,97
Princeton University,110066,14
Rabbinical College of America,34990,1903
Ramapo College of New Jersey,67541,305
Rider University,62208,458
Rutgers University-Camden,74479,193
Rutgers University-New Brunswick,74479,193
Rutgers University-Newark,74479,193
Saint Peter's University,57815,654
Seton Hall University,70196,254
Saint Elizabeth University,53038,921
Stevens Institute of Technology,108772,16
Stockton University,57602,661
Talmudical Academy-New Jersey,40344,1658
The College of New Jersey,73323,210
